fold,n_train,n_test,mae_um,rmse_um,crossing_delay_cuts,overshoot_um
c1,630,315,10.537474191198337,12.609193377669104,-29.0,-15.598960599999998
c4,630,315,16.261928368491734,19.178042961423028,-2.0,-2.524741000000006
c6,630,315,35.42563233768747,39.17593764702119,-161.0,-45.2646079
