kanal kümesi,oznitelik,mae_um,rmse_um,abs_overshoot_um,worst_overshoot_um,abs_delay_cuts
hepsi (7 kanal),168,20.741678299125848,23.654391328704445,21.1294365,-2.524741000000006,64.0
sadece kuvvet,72,24.752175237825536,28.047535712462263,46.33021606666667,72.4214552,48.666666666666664
titreşim + AE,96,23.818381347818455,26.8800412942724,29.36942683,10.460476599999993,79.66666666666667
sadece titreşim,72,25.09581121081,28.26237388146212,26.360117496666664,-1.2460259000000065,77.66666666666667
sadece AE,24,55.7044775031897,61.61617481467231,60.19408443333333,46.0718569,158.0
