fold,n_test_cuts,mae_um,rmse_um,crossing_delay_cuts,flute_spread_um
test=c1,315,13.182040007396825,19.38378108459214,-27.0,10.261691583619047
test=c4,315,20.667815707206348,22.425568723673756,-30.0,7.878065436571426
test=c6,315,29.612309207301585,33.26573067388345,47.0,20.482361179019044
