model,mae_um,rmse_um,abs_overshoot_um,worst_overshoot_um,abs_delay_cuts,git_hash
0 · naif taban,21.154054973968254,25.025026827383115,35.7414846,57.52820399999999,34.666666666666664,afd98c0867c02e9590c5a28c05d941a0f7be32de
1 · GBM (ham),19.908921731492203,23.37260922778206,21.1294365,-2.524741000000006,64.0,afd98c0867c02e9590c5a28c05d941a0f7be32de
2 · GBM + monoton,20.741678299125848,23.654391328704445,21.1294365,-2.524741000000006,64.0,afd98c0867c02e9590c5a28c05d941a0f7be32de
3 · GBM + normalize + monoton,19.55352584453075,23.894281835902557,34.480359666666665,67.83891639999999,34.666666666666664,afd98c0867c02e9590c5a28c05d941a0f7be32de
